,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
50,Hocus Pocus,Hocus Pocus,10439,"[14, 35, 10751]",1993-07-16,146.492,7.038,2958,en,False
51,Monsters University,Monsters University,62211,"[16, 10751]",2013-06-19,144.726,7.04,10545,en,False
52,Wish,Wish,1022796,"[16, 10751, 14, 12]",2023-11-13,144.567,6.369,1413,en,False
53,Brave,Brave,62177,"[16, 12, 35, 10751, 28, 14]",2012-06-21,144.521,7.021,13260,en,False
54,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,119450,"[878, 28, 18, 53]",2014-07-08,144.285,7.328,11301,en,False
55,Thor: Love and Thunder,Thor: Love and Thunder,616037,"[14, 28, 35]",2022-07-06,143.023,6.442,7471,en,False
56,Beauty and the Beast,Beauty and the Beast,10020,"[10749, 10751, 16, 14]",1991-10-22,142.841,7.737,9842,en,False
57,Toy Story 2,Toy Story 2,863,"[16, 35, 10751]",1999-10-30,142.729,7.597,13727,en,False
58,Alice in Wonderland,Alice in Wonderland,12092,"[16, 10751, 14, 12]",1951-07-28,139.028,7.2,5795,en,False
59,Carl's Date,Carl's Date,1076364,"[16, 12, 10751, 35]",2023-06-15,138.61,7.5,399,en,False
60,Avengers: Endgame,Avengers: Endgame,299534,"[12, 878, 28]",2019-04-24,137.39,8.2,25456,en,False
61,The Predator,The Predator,346910,"[878, 28, 12]",2018-09-05,136.934,5.6,4583,en,False
62,Ice Age,Ice Age,425,"[16, 35, 10751, 12]",2002-03-10,133.083,7.4,13141,en,False
63,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,285,"[12, 14, 28]",2007-05-19,132.338,7.3,14181,en,False
64,Frozen,Frozen,109445,"[16, 10751, 12, 14]",2013-11-20,132.015,7.246,16393,en,False
65,Garfield,Garfield,8920,"[16, 35, 10751]",2004-06-10,131.632,5.718,3957,en,False
66,Taken 3,Taken 3,260346,"[53, 28]",2014-12-16,128.611,6.255,5679,en,False
67,The Devil Wears Prada,The Devil Wears Prada,350,"[18, 35]",2006-06-29,128.419,7.395,11918,en,False
68,Eternals,Eternals,524434,"[878, 28, 12]",2021-11-03,128.349,6.857,8177,en,False
69,Hercules,Hercules,11970,"[16, 10751, 14, 12, 35, 10749]",1997-06-13,127.954,7.506,7324,en,False
70,Free Guy,Free Guy,550988,"[35, 12, 878]",2021-08-11,127.856,7.5,8647,en,False
71,Kingsman: The Golden Circle,Kingsman: The Golden Circle,343668,"[28, 12, 35]",2017-09-20,127.494,7.0,10239,en,False
72,"Monsters, Inc.","Monsters, Inc.",585,"[16, 35, 10751]",2001-11-01,127.366,7.8,18302,en,False
73,Toy Story,Toy Story,862,"[16, 12, 10751, 35]",1995-10-30,127.182,8.0,18255,en,False
74,Kinds of Kindness,Kinds of Kindness,1029955,"[18, 35]",2024-05-30,126.5,6.6,675,en,False
75,Raya and the Last Dragon,Raya and the Last Dragon,527774,"[16, 10751, 14, 28, 12]",2021-03-03,125.973,7.8,6722,en,False
76,Taken,Taken,8681,"[28, 53]",2008-02-18,125.559,7.4,11080,en,False
77,May the 12th Be with You,May the 12th Be with You,1284004,"[16, 35]",2024-05-09,125.343,5.6,45,en,False
78,Iron Man 2,Iron Man 2,10138,"[12, 28, 878]",2010-04-28,125.126,6.8,20828,en,False
79,Predator,Predator,106,"[878, 28, 12, 53]",1987-06-12,124.498,7.533,7974,en,False
80,Bohemian Rhapsody,Bohemian Rhapsody,424694,"[10402, 18]",2018-10-24,122.459,7.987,16765,en,False
81,"I, Robot","I, Robot",2048,"[28, 878]",2004-07-15,121.26,7.0,11636,en,False
82,Cars,Cars,920,"[16, 12, 35, 10751]",2006-06-08,119.359,7.0,13806,en,False
83,Poltergeist,Poltergeist,243688,[27],2015-05-20,119.072,5.2,2244,en,False
84,Tangled,Tangled,38757,"[16, 10751]",2010-11-24,116.982,7.607,11346,en,False
85,The Simpsons Movie,The Simpsons Movie,35,"[16, 35, 10751]",2007-07-25,116.978,7.011,7908,en,False
86,The Longest Ride,The Longest Ride,228205,"[18, 10749]",2015-04-09,115.612,7.615,3097,en,False
87,Wild,Wild,228970,[18],2014-12-05,115.207,7.0,2443,en,False
88,Big,Big,2280,"[14, 18, 35, 10749, 10751]",1988-06-03,115.141,7.166,3560,en,False
89,Deadpool 2,Deadpool 2,383498,"[28, 35, 12]",2018-05-10,114.456,7.493,17790,en,False
90,Cruella,Cruella,337404,"[35, 80, 10751, 12]",2021-05-26,112.657,8.0,9239,en,False
91,Jennifer's Body,Jennifer's Body,19994,"[27, 35]",2009-09-18,111.944,6.0,3744,en,False
92,The Princess and the Frog,The Princess and the Frog,10198,"[16, 10749, 14, 10751]",2009-12-08,111.536,7.213,5536,en,False
93,The Emperor's New Groove,The Emperor's New Groove,11688,"[12, 16, 35, 10751, 14]",2000-12-15,111.34,7.562,6648,en,False
94,Braveheart,Braveheart,197,"[28, 18, 36, 10752]",1995-05-24,109.495,7.941,10037,en,False
95,Hocus Pocus 2,Hocus Pocus 2,642885,"[14, 35, 10751]",2024-10-06,109.48,7.5,8,en,False
96,Descendants,Descendants,277217,"[10751, 12, 14, 10770]",2015-07-31,109.348,7.1,2328,en,False
97,Avengers: Age of Ultron,Avengers: Age of Ultron,99861,"[28, 12, 878]",2015-04-22,108.193,7.273,22833,en,False
98,The Little Mermaid,The Little Mermaid,10144,"[16, 10751, 14]",1989-11-17,107.692,7.354,7807,en,False
99,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),194662,"[18, 35]",2014-10-17,107.517,7.5,12697,en,False
100,Brave,Brave,62177,"[16, 12, 35, 10751, 28, 14]",2012-06-21,144.521,7.021,13260,en,False
101,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,119450,"[878, 28, 18, 53]",2014-07-08,144.285,7.328,11301,en,False
102,Hitman: Agent 47,Hitman: Agent 47,249070,"[28, 80, 53]",2015-08-20,61.556,5.8,2998,en,False
103,Thor: Love and Thunder,Thor: Love and Thunder,616037,"[14, 28, 35]",2022-07-06,143.023,6.442,7471,en,False
104,Beauty and the Beast,Beauty and the Beast,10020,"[10749, 10751, 16, 14]",1991-10-22,142.841,7.737,9841,en,False
105,Up,Up,14160,"[16, 35, 10751, 12]",2009-05-28,98.514,7.958,20060,en,False
106,The Little Mermaid,The Little Mermaid,10144,"[16, 10751, 14]",1989-11-17,107.692,7.354,7807,en,False
107,Mulan,Mulan,337401,"[12, 14, 28, 10751]",2020-09-04,93.382,6.875,6590,en,False
108,Tinker Bell and the Pirate Fairy,Tinker Bell and the Pirate Fairy,175112,"[16, 10751]",2014-02-13,60.306,6.9,984,en,False
109,Bohemian Rhapsody,Bohemian Rhapsody,424694,"[10402, 18]",2018-10-24,122.459,7.987,16765,en,False
110,Alice in Wonderland,Alice in Wonderland,12092,"[16, 10751, 14, 12]",1951-07-28,139.028,7.195,5795,en,False
111,Carl's Date,Carl's Date,1076364,"[16, 12, 10751, 35]",2023-06-15,138.61,7.5,399,en,False
112,The Hunchback of Notre Dame,The Hunchback of Notre Dame,10545,"[18, 16, 10751]",1996-06-21,76.335,7.114,4937,en,False
113,The Predator,The Predator,346910,"[878, 28, 12]",2018-09-05,136.934,5.633,4583,en,False
114,Aliens,Aliens,679,"[28, 53, 878]",1986-07-18,85.604,7.945,9628,en,False
115,The Princess Diaries,The Princess Diaries,9880,"[35, 10751, 10749]",2001-08-03,83.565,6.956,4879,en,False
116,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,166426,"[12, 28, 14]",2017-05-23,98.046,6.7,11869,en,False
117,Star Wars,Star Wars,11,"[12, 28, 878]",1977-05-25,99.8,8.2,20470,en,False
118,The Help,The Help,50014,[18],2011-08-09,100.702,8.2,8196,en,False
119,Pocahontas,Pocahontas,10530,"[12, 16, 10751, 10749]",1995-06-14,64.136,6.925,5615,en,False
120,Maze Runner: The Scorch Trials,Maze Runner: The Scorch Trials,294254,"[878, 28, 53, 12]",2015-09-09,99.873,6.732,10265,en,False
121,Star Wars,Star Wars,11,"[12, 28, 878]",1977-05-25,99.8,8.2,20470,en,False
122,Spies in Disguise,Spies in Disguise,431693,"[16, 28, 12, 35, 10751]",2019-12-04,99.176,7.6,2771,en,False
123,Lilo & Stitch 2: Stitch Has a Glitch,Lilo & Stitch 2: Stitch Has a Glitch,20760,"[16, 10751, 35, 878]",2005-01-22,99.102,6.637,1405,en,False
124,Up,Up,14160,"[16, 35, 10751, 12]",2009-05-28,98.514,7.958,20060,en,False
125,"Mickey, Donald, Goofy: The Three Musketeers","Mickey, Donald, Goofy: The Three Musketeers",21385,"[12, 16, 35, 10751]",2004-08-04,98.146,6.7,919,en,False
126,Prometheus,Prometheus,70981,"[878, 12, 9648]",2012-05-30,98.085,6.566,12085,en,False
127,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,166426,"[12, 28, 14]",2017-05-23,98.046,6.7,11869,en,False
128,Predators,Predators,34851,"[878, 28, 53]",2010-07-03,97.153,6.3,4065,en,False
129,Scary Movie 4,Scary Movie 4,4257,[35],2006-04-12,96.225,5.479,3210,en,False
130,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,24021,"[12, 14, 18, 10749]",2010-06-23,96.096,6.2,8665,en,False
131,Planes: Fire & Rescue,Planes: Fire & Rescue,218836,"[16, 35, 12, 10751]",2014-07-17,96.059,6.2,840,en,False
132,Aladdin,Aladdin,420817,"[12, 14, 10749, 10751]",2019-05-22,95.496,7.1,9948,en,False
133,Frankenweenie,Frankenweenie,62214,"[16, 35, 10751]",2012-10-04,95.467,6.972,3280,en,False
134,Alice in Wonderland,Alice in Wonderland,12155,"[10751, 14, 12]",2010-03-03,95.464,6.639,13846,en,False
135,Turning Red,Turning Red,508947,"[16, 10751, 35, 14]",2022-03-10,94.495,7.4,5160,en,False
136,Frozen II,Frozen II,330457,"[10751, 16, 12, 35, 14]",2019-11-20,93.455,7.3,9637,en,False
137,Mulan,Mulan,337401,"[12, 14, 28, 10751]",2020-09-04,93.382,6.9,6590,en,False
138,TRON: Legacy,TRON: Legacy,20526,"[12, 28, 878]",2010-12-14,92.572,6.5,7074,en,False
139,Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,283366,"[14, 12]",2016-09-27,92.451,6.837,9844,en,False
140,Hope Floats,Hope Floats,9715,"[10749, 18, 35]",1998-05-29,91.962,6.395,442,en,False
141,Logan,Logan,263115,"[28, 18, 878]",2017-02-28,91.864,7.823,19118,en,False
142,The Jungle Book,The Jungle Book,278927,"[10751, 12, 18, 14]",2016-04-07,91.788,6.9,7987,en,False
143,Life of Pi,Life of Pi,87827,"[12, 18]",2012-11-20,91.318,7.4,12953,en,False
144,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",218778,"[10751, 35]",2014-10-08,90.234,6.2,1314,en,False
145,Let's Be Cops,Let's Be Cops,193893,[35],2014-08-13,89.758,6.5,2741,en,False
146,Remember the Titans,Remember the Titans,10637,[18],2000-09-29,89.645,7.634,2631,en,False
147,The Good Dinosaur,The Good Dinosaur,105864,"[12, 16, 10751]",2015-11-14,89.163,6.7,5484,en,False
148,Pretty Woman,Pretty Woman,114,"[10749, 35]",1990-03-23,88.353,7.466,8138,en,False
149,The Day After Tomorrow,The Day After Tomorrow,435,"[28, 12, 878, 53]",2004-05-26,87.637,6.5,8017,en,False
150,Cinderella,Cinderella,11224,"[10751, 14, 16, 10749]",1950-02-22,87.241,7.045,6641,en,False
151,X-Men: Apocalypse,X-Men: Apocalypse,246655,"[28, 12, 878, 14]",2016-05-18,86.954,6.518,12862,en,False
152,Boys Don't Cry,Boys Don't Cry,226,"[80, 18]",1999-09-02,86.829,7.407,1301,en,False
153,The Incredibles,The Incredibles,9806,"[28, 12, 16, 10751]",2004-10-27,86.406,7.7,17518,en,False
154,Aliens,Aliens,679,"[28, 53, 878]",1986-07-18,85.604,7.945,9628,en,False
