,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
239,The Boy Who Harnessed the Wind,The Boy Who Harnessed the Wind,491480,"[18, 36]",2019-02-14,57.746,7.915,1645,en,False
240,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,8355,"[16, 35, 10751, 12]",2009-06-26,54.985,6.8,8215,en,False
241,Orion and the Dark,Orion and the Dark,1139829,"[16, 10751, 35, 14]",2024-02-01,74.794,6.6,475,en,False
242,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,My Hero Academia: Heroes Rising,592350,"[16, 28, 14, 12]",2019-12-20,56.725,8.2,1148,ja,False
243,Ri¢hie Ri¢h,Ri¢hie Ri¢h,11011,"[35, 10751]",1994-12-19,72.71,5.9,2238,en,False
244,Battleship,Battleship,44833,"[53, 28, 12, 878]",2012-04-11,94.57,5.854,5453,en,False
245,Rebel Moon - Part One: A Child of Fire,Rebel Moon - Part One: A Child of Fire,848326,"[878, 18, 28]",2023-12-15,53.424,6.3,2074,en,False
246,Trollhunters: Rise of the Titans,Trollhunters: Rise of the Titans,730840,"[16, 14, 10751, 28, 12]",2021-07-21,86.567,7.5,328,en,False
247,రౌద్రం రణం రుధిరం,RRR,579974,"[28, 18]",2022-03-24,55.555,7.8,1273,te,False
248,His Three Daughters,His Three Daughters,1154762,"[18, 35]",2024-09-05,53.517,7.0,110,en,False
249,Texas Chainsaw Massacre,Texas Chainsaw Massacre,632727,[27],2022-02-18,93.576,5.2,1414,en,False
250,The Croods: A New Age,The Croods: A New Age,529203,"[16, 10751, 12, 14, 35]",2020-11-25,67.526,7.5,3796,en,False
251,七つの大罪 怨嗟のエジンバラ 後編,The Seven Deadly Sins: Grudge of Edinburgh Part 2,1064835,"[28, 12, 14, 16]",2023-08-08,55.262,7.142,194,ja,False
252,Intouchables,The Intouchables,77338,"[18, 35]",2011-11-02,71.18,8.277,17093,fr,False
253,Bad Boys,Bad Boys,9737,"[28, 35, 80, 53]",1995-04-07,57.416,6.815,6296,en,False
