,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
408,Asphalt-Cowboys,Asphalt-Cowboys,102263,"[10764, 99]",2012-10-16,12.755,8.0,1,de,False
409,Your Worst Nightmare,Your Worst Nightmare,65067,"[80, 99]",2014-10-22,12.698,7.4,14,en,False
410,Hillsong: A Megachurch Exposed,Hillsong: A Megachurch Exposed,157829,"[99, 80]",2022-03-24,12.642,6.9,12,en,False
411,YOLO,YOLO,106925,"[35, 16]",2020-04-01,12.603,7.0,20,en,False
412,Teenage Euthanasia,Teenage Euthanasia,132922,"[35, 16]",2021-09-06,12.587,5.2,8,en,False
413,The Heroic Quest of the Valiant Prince Ivandoe,The Heroic Quest of the Valiant Prince Ivandoe,75367,"[10759, 16, 10762, 35]",2022-12-05,12.584,7.6,5,en,False
414,Felices los 6,Six Is Not a Crowd,253344,[35],2024-05-02,12.57,6.704,27,es,False
415,Mildred Pierce,Mildred Pierce,39468,[18],2011-03-27,12.523,7.044,217,en,False
416,Patria,Patria,85964,"[18, 10768, 80]",2020-09-27,12.506,7.3,160,es,False
417,Da Ponte pra Lá,Divided Youth,218515,[18],2024-04-04,12.314,6.0,5,pt,False
418,Dr. Jeff: Rocky Mountain Vet,Dr. Jeff: Rocky Mountain Vet,62997,[10764],2015-07-11,12.22,7.2,7,en,False
419,Chasing Classic Cars,Chasing Classic Cars,37129,"[99, 10764]",2008-09-09,12.179,7.7,7,en,False
420,DMZ,DMZ,113566,"[18, 10765]",2022-03-17,11.998,6.2,80,en,False
421,Te quiero y me duele,"I Love You, and It Hurts",231505,[18],2023-08-17,11.96,8.2,17,es,False
422,Rap Sh!t,Rap Sh!t,155772,[35],2022-07-21,11.909,5.8,27,en,False
423,Christina on the Coast,Christina on the Coast,89866,[10764],2019-05-23,11.896,5.3,3,en,False
424,The Last Alaskans,The Last Alaskans,65043,"[99, 10764]",2015-05-25,11.868,7.4,9,en,False
425,The Shop,The Shop,81187,[10767],2018-08-28,11.851,5.6,8,en,False
426,Birdgirl,Birdgirl,122486,"[16, 35]",2021-04-05,11.836,6.2,21,en,False
427,sMothered,sMothered,90444,"[10764, 18, 10751]",2019-06-09,11.817,8.6,7,en,False
428,Home Town,Home Town,71359,[10764],2016-01-24,11.817,7.2,9,en,False
429,Getting On,Getting On,57756,[35],2013-11-24,11.814,6.4,29,en,False
430,Good Bones,Good Bones,71956,[10764],2015-05-04,11.808,7.9,12,en,False
431,SmartLess: On the Road,SmartLess: On the Road,224382,[99],2023-05-23,11.778,8.0,4,en,False
432,Landscapers,Landscapers,113987,"[80, 18, 35]",2021-12-06,11.749,6.7,163,en,False
433,The Zen Diaries of Garry Shandling,The Zen Diaries of Garry Shandling,77397,[99],2018-03-26,11.739,7.429,28,en,False
434,Dr. Pimple Popper,Dr. Pimple Popper,80991,[10764],2018-07-11,11.686,7.7,24,en,False
435,Ten Year Old Tom,Ten Year Old Tom,133808,"[16, 35]",2021-09-30,11.552,6.9,18,en,False
436,Disappeared,Disappeared,26728,"[99, 18]",2010-01-11,11.539,8.1,12,en,False
437,#BringBackAlice,#BringBackAlice,222892,"[9648, 18]",2023-04-14,11.531,6.2,17,pl,False
438,The Little Couple,The Little Couple,21651,[10764],2009-05-26,11.526,8.4,8,en,False
439,Death by Fame,Death by Fame,218835,"[80, 99]",2023-01-23,11.478,6.5,4,en,False
440,Barnwood Builders,Barnwood Builders,66766,"[99, 10764]",2013-11-01,11.403,9.0,1,en,False
441,German Genius,German Genius,202738,[35],2023-05-23,11.344,5.5,10,de,False
442,Extinct or Alive,Extinct or Alive,80301,"[10759, 99]",2018-06-10,11.301,7.8,5,en,False
443,Aranyélet,Golden Life,64379,"[80, 18]",2015-11-08,11.178,8.0,30,hu,False
444,The Last Movie Stars,The Last Movie Stars,157021,[99],2022-07-21,11.068,6.846,13,en,False
445,Expedition: Back to the Future,Expedition: Back To The Future,120932,"[35, 99]",2021-03-15,11.032,6.9,102,en,False
446,Blackout,Blackout: Tomorrow is Too Late,136365,"[9648, 80, 18]",2021-10-14,10.971,6.242,31,de,False
447,Funny or Die Presents,Funny or Die Presents,32656,[35],2010-02-15,10.963,4.4,17,en,False
448,Control de carreteras,Control de carreteras,95218,"[99, 10764]",2019-10-20,10.94,5.0,2,es,False
449,戒指流浪記,Adventure of the Ring,112966,"[18, 35]",2020-12-13,10.896,4.8,5,zh,False
450,Axios,Axios,83114,[99],2018-11-04,10.884,5.8,9,en,False
451,Intergalactic,Intergalactic,119826,[10765],2021-04-30,10.837,5.1,52,en,False
452,Expedition Bigfoot,Expedition Bigfoot,95157,"[99, 10764]",2019-12-08,10.821,7.8,14,en,False
