,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
1501,jeen-yuhs: A Kanye Trilogy,jeen-yuhs: A Kanye Trilogy,155094,[99],2022-02-16,9.994,6.8,48,en,False
1502,Vortex,Vortex,206344,"[80, 10765, 18]",2023-01-02,13.295,6.7,41,fr,False
1503,Attenborough's Life in Colour,Attenborough's Life in Colour,119815,[99],2021-02-28,11.891,7.69,63,en,False
1504,Neymar: O Caos Perfeito,Neymar: The Perfect Chaos,153519,[99],2022-01-25,16.639,7.4,256,pt,False
1505,Crime Scene: The Texas Killing Fields,Crime Scene: The Texas Killing Fields,214180,"[99, 80]",2022-11-29,12.52,6.3,57,en,False
1506,Ashley Garcia: Genius in Love,Ashley Garcia: Genius in Love,99517,[35],2020-02-17,12.343,6.9,35,en,False
1507,Traitors,Traitors,86733,"[10768, 18]",2019-02-17,9.107,6.6,44,en,False
1508,Secret World of Sound,Secret World of Sound,245782,[99],2024-02-15,12.385,9.0,9,en,False
1509,Irmandade,Brotherhood,94696,"[18, 10759]",2019-10-25,9.958,8.1,47,pt,False
1510,彼岸之嫁,The Ghost Bride,98492,"[9648, 18, 10751]",2020-01-23,11.856,6.4,19,zh,False
1511,極道千金,Triad Princess,96049,"[35, 18]",2019-12-06,10.558,6.6,26,zh,False
1512,Pretty Smart,Pretty Smart,133537,"[35, 18]",2021-10-08,16.04,6.4,67,en,False
1513,The Ultimatum: Queer Love,The Ultimatum: Queer Love,224710,[10764],2023-05-24,7.612,7.0,2,en,False
1514,Otwórz oczy,Open Your Eyes,129676,"[10765, 9648, 18]",2021-08-25,9.365,7.0,28,pl,False
1515,A Tale Dark & Grimm,A Tale Dark & Grimm,133355,"[10762, 10759, 16]",2021-10-08,13.234,7.2,32,en,False
1516,Turn Up Charlie,Turn Up Charlie,85486,"[35, 18]",2019-03-15,9.941,6.563,56,en,False
1517,Spy Ops,Spy Ops,232401,"[99, 80]",2023-09-08,10.689,7.4,13,en,False
1518,Team Kaylie,Team Kaylie,93960,"[35, 10751]",2019-09-23,15.55,6.5,18,en,False
1519,Prince of Peoria,Prince of Peoria,84111,"[35, 10762]",2018-11-16,11.708,5.667,15,en,False
1520,Jusqu'ici tout va bien,Thicker Than Water,222559,"[9648, 80]",2023-04-07,8.428,6.617,30,fr,False
1521,Selling The OC,Selling The OC,139566,[10764],2022-08-24,8.313,6.2,15,en,False
1522,Dare Me,Dare Me,95259,"[18, 9648, 80]",2019-12-29,12.5,7.7,344,en,False
1523,Siempre Bruja,Always a Witch,85703,"[10765, 18]",2019-02-01,10.747,7.135,133,es,False
1524,Supa Team 4,Supa Team 4,205070,"[10759, 16]",2023-07-20,10.069,6.4,9,en,False
1525,Jaguar,Jaguar,127425,"[18, 10768]",2021-09-22,11.767,7.2,84,es,False
1526,Los favoritos de Midas,The Minions of Midas,111761,"[9648, 18, 80]",2020-11-13,11.742,6.8,128,es,False
1527,Kriger,Warrior,83110,"[10759, 18, 80]",2018-10-08,9.077,6.179,28,da,False
1528,The Family,The Family,91505,[99],2019-08-09,14.167,6.7,81,en,False
1529,3 Tonelada$: Assalto ao Banco Central,Hei$t: The Great Robbery of Brazil's Central Bank,158762,[99],2022-03-16,10.384,6.5,13,pt,False
1530,Monzón,Monzón: A Knockout Blow,90614,"[80, 18]",2019-06-17,10.621,6.5,13,es,False
1531,Alien TV,Alien TV,107422,"[16, 35, 10751]",2020-08-21,15.214,6.56,91,en,False
1532,헤어진 다음날,One More Time,69067,"[18, 10765]",2016-10-26,8.044,6.5,19,ko,False
1533,Keizersvrouwen,Women of the Night,81180,"[18, 80]",2019-11-10,9.888,6.2,22,nl,False
1534,Okupas,Okupas,60549,"[18, 80]",2000-10-18,10.318,8.6,70,es,False
1535,Neo Yokio,Neo Yokio,74044,"[16, 10759, 10765, 35]",2017-09-22,10.632,5.3,47,en,False
1536,GHOUL,GHOUL,80707,"[9648, 10765, 18]",2018-08-24,11.222,6.852,192,hi,False
1537,金枝玉叶,Yanxi Palace: Princess Adventures,96997,[18],2019-12-31,14.522,7.8,10,zh,False
1538,Heist,Heist,127643,"[99, 80]",2021-07-14,6.848,6.5,47,en,False
1539,Human: The World Within,Human: The World Within,125027,[99],2021-05-05,7.386,7.1,22,en,False
1540,On the Verge,On the Verge,127108,"[35, 18]",2021-09-06,12.486,4.8,17,fr,False
1541,Surviving Death,Surviving Death,115391,[99],2021-01-06,6.869,6.8,80,en,False
1542,Teletubbies,Teletubbies,211069,[10762],2022-11-14,11.531,6.3,35,en,False
1543,Jeffrey Epstein: Filthy Rich,Jeffrey Epstein: Filthy Rich,103506,"[80, 99]",2020-05-27,11.465,7.1,349,en,False
1544,Raël : Le prophète des extraterrestres,Raël: The Alien Prophet,242181,[99],2024-02-07,8.071,6.3,18,fr,False
1545,天国と地獄 〜サイコな2人〜,Heaven and Hell: Soul Exchange,116912,"[80, 18]",2021-01-17,13.786,7.2,19,ja,False
1546,Mauvais joueurs,Don't Hate the Player,250789,[10764],2024-04-17,8.94,8.125,4,fr,False
1547,Bottersnikes & Gumbles,Bottersnikes & Gumbles,67329,"[10762, 35, 16, 10759]",2016-07-25,14.075,6.0,4,en,False
1548,W głębi lasu,The Woods,103425,"[18, 9648]",2020-06-12,15.814,6.9,177,pl,False
