,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
97,La Máquina,La Máquina,206925,"[18, 35]",2024-10-09,107.486,6.643,14,en,False
98,Marvel's Daredevil,Marvel's Daredevil,61889,"[80, 18, 10759]",2015-04-10,106.036,8.161,4446,en,False
99,Marvel's Spidey and His Amazing Friends,Marvel's Spidey and His Amazing Friends,127635,"[10762, 16, 35]",2021-08-06,104.86,7.328,229,en,False
100,Hannah Montana,Hannah Montana,4610,"[35, 10762, 10751]",2006-03-24,104.647,7.2,641,en,False
101,Disney's Adventures of the Gummi Bears,Disney's Adventures of the Gummi Bears,1931,"[16, 10751, 10762]",1985-09-14,104.282,7.368,218,en,False
102,Milo Murphy's Law,Milo Murphy's Law,67549,"[10751, 35, 16]",2016-10-03,104.208,7.435,84,en,False
103,The Owl House,The Owl House,92685,"[16, 10765, 18, 10759, 35, 10762]",2020-01-10,103.973,8.666,1579,en,False
104,Last Man Standing,Last Man Standing,39297,[35],2011-10-11,103.39,7.3,310,en,False
105,Kim Possible,Kim Possible,2345,"[16, 10759, 35, 10762]",2002-06-07,103.187,7.5,483,en,False
106,Chip 'n' Dale Rescue Rangers,Chip 'n' Dale Rescue Rangers,1615,"[16, 35, 10762, 10751]",1989-03-04,102.462,7.523,492,en,False
107,빅마우스,Big Mouth,155226,"[9648, 18, 80]",2022-07-29,102.437,8.203,231,ko,False
108,WandaVision,WandaVision,85271,"[10765, 9648, 18]",2021-01-15,101.558,8.229,11920,en,False
109,The Fosters,The Fosters,46880,[18],2013-06-03,100.49,7.583,300,en,False
110,Regreso a Las Sabinas,Return to Las Sabinas,262969,"[10766, 18]",2024-10-11,100.237,0.0,0,es,False
111,Sleepy Hollow,Sleepy Hollow,50825,"[18, 9648, 10765]",2013-09-16,100.105,7.4,1024,en,False
112,Vis a vis,Locked Up,62455,"[18, 80]",2015-04-20,98.577,8.008,2414,es,False
113,Big City Greens,Big City Greens,80587,"[10751, 16, 35]",2018-06-18,97.212,7.34,53,en,False
114,Wizards of Waverly Place,Wizards of Waverly Place,3498,"[35, 10765, 10762]",2007-10-12,97.075,8.1,749,en,False
115,What If...?,What If...?,91363,"[16, 10759, 10765]",2021-08-11,96.857,8.149,4142,en,False
116,Lilo & Stitch: The Series,Lilo & Stitch: The Series,2355,"[16, 10751, 35, 10759, 10765, 10762]",2003-09-20,95.74,7.372,556,en,False
117,Marvel's The Punisher,Marvel's The Punisher,67178,"[10759, 80, 18]",2017-11-17,95.329,8.118,2543,en,False
118,American Horror Stories,American Horror Stories,113036,"[18, 9648, 10765]",2021-07-15,95.012,7.8,843,en,False
119,Private Practice,Private Practice,3172,[18],2007-09-26,94.319,7.577,318,en,False
120,What We Do in the Shadows,What We Do in the Shadows,83631,[35],2019-03-27,93.496,8.0,691,en,False
121,Quantico,Quantico,62816,"[80, 18, 9648]",2015-09-27,92.584,6.5,649,en,False
122,Gomorra - La serie,Gomorrah,61068,"[80, 18]",2014-05-06,92.564,8.023,469,it,False
