,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
544,The Curse of Lizzie Borden,The Curse of Lizzie Borden,873081,"[99, 9648]",2021-09-10,3.882,5.8,2,en,False
545,Por los pelos,Por los pelos,826218,[35],2022-08-12,3.825,6.5,38,es,False
546,Master Moley By Royal Invitation,Master Moley By Royal Invitation,743960,[16],2020-09-17,3.812,5.8,5,en,False
547,Lansky,Lansky,76739,"[18, 80, 10770]",1999-02-27,3.794,5.5,23,en,False
548,The Super Bob Einstein Movie,The Super Bob Einstein Movie,918632,[99],2021-12-28,3.78,6.717,23,en,False
549,You Don't Know Jack: The Jack Soo Story,You Don't Know Jack: The Jack Soo Story,977391,[99],2009-03-15,3.779,0.0,0,en,False
550,The Last Truck: Closing of a GM Plant,The Last Truck: Closing of a GM Plant,37098,[99],2009-09-07,3.601,5.8,8,en,False
551,El crítico,The Critic,1018931,[99],2022-09-16,3.585,6.4,8,es,False
552,Las buenas compañías,In the Company of Women,1096751,[18],2023-10-18,3.536,6.8,14,es,False
553,The Iceman Confesses: Secrets of a Mafia Hitman,The Iceman Confesses: Secrets of a Mafia Hitman,216043,"[99, 80, 53, 27]",2001-03-01,3.49,7.5,21,en,False
554,A Choice of Weapons: Inspired by Gordon Parks,A Choice of Weapons: Inspired by Gordon Parks,822100,[99],2021-06-18,3.393,6.9,18,en,False
555,Santa Camp,Santa Camp,1043581,[99],2022-11-12,3.387,5.4,8,en,False
556,Alien Endgame,Alien Endgame,978406,[99],2022-05-20,3.374,6.6,7,en,False
557,Skinheads USA: Soldiers of the Race War,Skinheads USA: Soldiers of the Race War,333185,[99],1993-03-22,3.347,5.3,3,en,False
558,aka Mr. Chow,aka Mr. Chow,1165485,[99],2023-10-20,3.339,9.2,4,en,False
559,"Say Hey, Willie Mays!","Say Hey, Willie Mays!",1029966,[99],2022-10-27,3.273,6.4,8,en,False
560,In Pursuit of Honor,In Pursuit of Honor,139826,[37],1995-03-18,3.272,5.7,19,en,False
561,Soțul Meu Musulman,My Muslim Husband,1183225,"[99, 18]",2023-10-27,3.269,10.0,1,ro,False
562,The Fastest Woman on Earth,The Fastest Woman on Earth,1034195,[99],2022-10-20,3.233,7.6,8,en,False
563,"Apolonia, Apolonia","Apolonia, Apolonia",1047128,[99],2023-03-23,3.181,7.1,15,fr,False
564,Dirty War,Dirty War,39182,"[18, 53, 10770]",2004-09-26,3.167,6.0,36,en,False
