,original_title,title,id,genre_ids,release_date,popularity,vote_average,vote_count,original_language,adult
436,The Phantom of the Open,The Phantom of the Open,717151,"[18, 35]",2022-03-18,45.678,6.7,105,en,False
437,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,Henry V,22638,"[36, 18, 10752]",1944-11-24,52.739,6.6,109,en,False
438,Black Site,Black Site,848123,"[28, 53, 80, 18]",2022-05-05,22.561,6.2,242,en,False
439,کفرناحوم,Capernaum,517814,[18],2018-09-20,52.602,8.2,1674,ar,False
440,Hell or High Water,Hell or High Water,338766,"[37, 80, 18]",2016-08-11,52.528,7.3,4389,en,False
441,White Squall,White Squall,10534,"[18, 12]",1996-02-02,27.876,6.3,353,en,False
442,少林三十六房,The 36th Chamber of Shaolin,11841,"[28, 12]",1978-02-02,28.625,7.5,414,zh,False
443,Glass,Glass,450465,"[53, 18, 878]",2019-01-16,50.374,6.676,8369,en,False
444,The Hills Have Eyes Part 2,The Hills Have Eyes Part 2,18477,"[27, 53]",1985-08-02,22.462,4.417,240,en,False
445,Billy Elliot,Billy Elliot,71,"[18, 35, 10402]",2000-09-28,37.394,7.6,3787,en,False
446,Masters of the Universe,Masters of the Universe,11649,"[28, 14, 878, 12, 53]",1987-08-07,22.394,5.7,880,en,False
447,The Courier,The Courier,522241,"[53, 36, 18]",2020-01-24,52.027,7.059,1107,en,False
448,La Belle Époque,La Belle Époque,595975,"[35, 18]",2019-11-06,27.333,7.4,987,fr,False
449,Moonfall,Moonfall,406759,"[878, 12, 28]",2022-02-03,50.086,6.323,3069,en,False
450,Planet Dune,Planet Dune,881460,"[878, 27, 12]",2021-10-29,51.955,5.2,58,en,False
451,Management,Management,21583,"[35, 18, 10749]",2009-02-08,51.572,5.4,321,en,False
452,Les affamés,Ravenous,415010,"[27, 18, 878]",2017-09-23,22.1,5.9,409,fr,False
453,Remo Williams: The Adventure Begins,Remo Williams: The Adventure Begins,10553,"[35, 28, 12]",1985-10-11,30.023,6.262,250,en,False
454,Possessor,Possessor,435615,"[27, 53, 878]",2020-10-02,51.514,6.3,852,en,False
455,Her,Her,152601,"[10749, 878, 18]",2013-12-18,51.272,7.857,14148,en,False
456,Animal Farm,Animal Farm,11848,"[16, 18]",1954-12-28,22.767,7.0,468,en,False
457,Words and Pictures,Words and Pictures,214075,"[35, 18, 10749]",2014-05-22,51.409,6.4,220,en,False
458,The Other Zoey,The Other Zoey,912916,"[10749, 18, 35]",2023-10-19,51.372,7.033,362,en,False
459,Donnie Darko,Donnie Darko,141,"[14, 18, 9648]",2001-01-19,36.498,7.778,12302,en,False
460,Goldfinger,Goldfinger,658,"[12, 28, 53]",1964-09-20,30.498,7.3,3505,en,False
461,劇場版 NARUTO 大活劇! 雪姫忍法帖だってばよ!!,Naruto the Movie: Ninja Clash in the Land of Snow,16907,"[35, 28, 16, 12]",2004-08-21,36.624,7.2,534,ja,False
462,Becky,Becky,601844,"[53, 27, 28]",2020-07-23,31.249,6.3,561,en,False
463,劇場版 NARUTO -ナルト- 大激突!幻の地底遺跡だってばよ,Naruto the Movie: Legend of the Stone of Gelel,16910,"[16, 12, 14]",2005-08-06,36.582,6.7,384,ja,False
464,Le Salaire de la peur,The Wages of Fear,204,"[18, 53, 12]",1953-04-22,51.177,8.0,926,fr,False
465,Midnight in the Switchgrass,Midnight in the Switchgrass,693113,"[80, 9648, 53, 28]",2021-07-23,44.484,5.941,416,en,False
