,original_name,name,id,genre_ids,first_air_date,popularity,vote_average,vote_count,original_language,adult
50,"Betty la fea, la historia continúa","Betty la Fea, the Story Continues",230424,"[10766, 35, 18]",2024-07-19,171.458,7.5,159,es,False
51,2 Broke Girls,2 Broke Girls,39340,[35],2011-09-19,166.675,7.208,1512,en,False
52,The Handmaid's Tale,The Handmaid's Tale,69478,"[18, 10765]",2017-04-26,166.136,8.2,2684,en,False
53,コードギアス 反逆のルルーシュ,Code Geass: Lelouch of the Rebellion,31724,"[16, 10765, 10759, 18]",2006-10-05,166.002,8.4,728,ja,False
54,Downton Abbey,Downton Abbey,33907,[18],2010-09-26,165.175,8.105,990,en,False
55,Dora the Explorer,Dora the Explorer,79,"[10759, 16, 10751, 10762]",2000-08-14,162.023,6.2,305,en,False
56,ハイキュー!!,Haikyu!!,60863,"[16, 10759]",2014-04-06,161.991,8.627,1339,ja,False
57,Bosch,Bosch,60585,"[9648, 18, 80]",2015-01-14,159.896,7.911,564,en,False
58,Rebelde,Rebelde,12637,"[35, 10766, 18]",2004-10-04,156.891,8.412,5131,es,False
59,Those About to Die,Those About to Die,218589,[18],2024-07-18,156.357,7.613,190,en,False
60,The Legend of Vox Machina,The Legend of Vox Machina,135934,"[16, 10765]",2022-01-27,151.107,8.3,420,en,False
61,Top Gear,Top Gear,45,"[10767, 10759, 10764, 35]",2002-10-20,150.851,7.456,733,en,False
62,Cold Case,Cold Case,2171,"[80, 18, 9648]",2003-09-28,148.349,7.764,381,en,False
63,Agatha Christie's Marple,Agatha Christie's Marple,6127,"[18, 80, 9648]",2004-12-12,145.752,7.659,113,en,False
64,LEGO Ninjago: Dragons Rising,LEGO Ninjago: Dragons Rising,212989,"[16, 10762, 10759]",2023-06-01,145.63,8.1,63,en,False
65,Chuck,Chuck,1404,"[10759, 35, 18]",2007-09-24,145.223,7.7,991,en,False
66,Nadie nos va a extrañar,No One Will Miss Us,259666,"[18, 35]",2024-08-09,145.124,8.7,145,es,False
67,キャプテン翼,Captain Tsubasa,25707,"[35, 18, 16]",1983-10-13,144.519,7.8,774,ja,False
68,Rizzoli & Isles,Rizzoli & Isles,32895,"[80, 18, 9648]",2010-07-12,144.418,7.9,414,en,False
69,Leverage,Leverage,7482,"[18, 35, 10759, 80]",2008-12-07,143.793,7.6,359,en,False
70,黒子のバスケ,Kuroko's Basketball,45783,"[16, 35, 18]",2012-04-08,142.979,8.5,537,ja,False
71,Henry Danger,Henry Danger,61852,"[35, 10751, 10762, 18]",2014-07-26,139.028,8.3,1077,en,False
72,Everybody Loves Raymond,Everybody Loves Raymond,2140,[35],1996-09-13,138.813,6.786,546,en,False
73,The Penguins of Madagascar,The Penguins of Madagascar,7869,"[16, 35]",2008-11-28,137.869,7.4,351,en,False
74,Endeavour,Endeavour,44264,"[80, 18, 9648]",2013-04-14,137.269,8.1,236,en,False
75,New Amsterdam,New Amsterdam,80350,[18],2018-09-25,135.482,8.38,975,en,False
76,Dark/Web,Dark/Web,90492,[10765],2019-07-19,132.516,6.333,21,en,False
77,Cuéntame cómo pasó,Cuéntame cómo pasó,7897,"[35, 18]",2001-09-13,132.349,7.167,54,es,False
78,The Thundermans,The Thundermans,58981,"[10759, 35, 10751, 10765]",2013-10-14,130.006,8.029,553,en,False
79,進撃の巨人,Attack on Titan,1429,"[16, 10765, 10759]",2013-04-07,129.089,8.66,6351,ja,False
80,Fallout,Fallout,106379,"[10765, 10759, 18]",2024-04-10,128.078,8.3,1456,en,False
81,Batman: The Animated Series,Batman: The Animated Series,2098,"[10759, 16, 18, 9648]",1992-09-05,126.389,8.5,1579,en,False
